Model,Dev ACC,Dev EER,Eval ACC,Eval BalACC,Eval Precision,Eval Recall,Eval F1,Eval AUC,Eval EER
Random Forest,0.9142,0.117,0.9035,0.6197,0.5718,0.262,0.3593,0.9238,0.1437
SVM,0.9539,0.0754,0.907,0.8271,0.5366,0.7264,0.6173,0.9392,0.1306
